IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.74.11.251,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,77,12.24
8.222.160.61,8080,8080,FALSE,SIN,Asia Pacific,Singapore,53,12.24
47.74.41.87,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,82,12.24
47.74.15.117,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,117,12.24
8.213.137.24,443,443,TRUE,ICN,Asia Pacific,Seoul,78,12.23
47.74.42.111,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,80,12.23
47.74.18.121,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,117,12.23
47.236.172.95,2053,2053,TRUE,SIN,Asia Pacific,Singapore,151,12.23
47.245.29.126,80,80,FALSE,NRT,Asia Pacific,Tokyo,75,12.23
8.219.74.35,2053,2053,TRUE,SIN,Asia Pacific,Singapore,110,12.23
8.219.126.3,2052,2052,FALSE,SIN,Asia Pacific,Singapore,9,12.23
47.245.57.109,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,86,12.22
47.245.53.101,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,74,12.22
8.219.98.13,2083,2083,TRUE,SIN,Asia Pacific,Singapore,133,12.22
47.74.42.111,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,71,12.22
8.219.103.57,2087,2087,TRUE,SIN,Asia Pacific,Singapore,146,12.22
47.236.144.48,2052,2052,FALSE,SIN,Asia Pacific,Singapore,21,12.22
8.222.215.228,8080,8080,FALSE,SIN,Asia Pacific,Singapore,3,12.22
8.222.208.38,2083,2083,TRUE,SIN,Asia Pacific,Singapore,80,12.21
47.245.37.29,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,172,12.21
47.236.109.115,2087,2087,TRUE,SIN,Asia Pacific,Singapore,98,12.21
8.219.179.34,2096,2096,TRUE,SIN,Asia Pacific,Singapore,119,12.21
8.219.134.117,8443,8443,TRUE,SIN,Asia Pacific,Singapore,73,12.2
8.219.63.66,2096,2096,TRUE,SIN,Asia Pacific,Singapore,53,12.2
47.236.204.152,8443,8443,TRUE,SIN,Asia Pacific,Singapore,111,12.2
8.209.215.247,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,73,12.2
47.245.80.142,2096,2096,TRUE,SIN,Asia Pacific,Singapore,81,12.19
8.222.211.16,2096,2096,TRUE,SIN,Asia Pacific,Singapore,79,12.19
8.219.204.120,2086,2086,FALSE,SIN,Asia Pacific,Singapore,20,12.19
47.236.168.17,8880,8880,FALSE,SIN,Asia Pacific,Singapore,11,12.19
8.222.252.150,2087,2087,TRUE,SIN,Asia Pacific,Singapore,81,12.19
8.222.223.34,2095,2095,FALSE,SIN,Asia Pacific,Singapore,3,12.18
47.236.201.98,2095,2095,FALSE,SIN,Asia Pacific,Singapore,42,12.18
8.219.4.122,80,80,FALSE,SIN,Asia Pacific,Singapore,7,12.18
47.245.55.94,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,84,12.18
47.236.114.167,2083,2083,TRUE,SIN,Asia Pacific,Singapore,123,12.18
47.236.171.205,8880,8880,FALSE,SIN,Asia Pacific,Singapore,26,12.17
