IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
43.153.80.208,443,443,TRUE,SJC,North America,San Jose,228,18.47
185.212.62.119,443,443,TRUE,LHR,Europe,London,222,17.34
43.153.181.217,443,443,TRUE,NRT,Asia Pacific,Tokyo,118,12.87
20.14.98.47,443,443,TRUE,LAX,North America,Los Angeles,176,9.42
193.123.247.198,443,443,TRUE,NRT,Asia Pacific,Tokyo,106,8.82
98.70.26.236,443,443,TRUE,BOM,Asia Pacific,Mumbai,181,8.15
20.150.194.248,443,443,TRUE,LAX,North America,Los Angeles,185,7.65
20.230.146.168,443,443,TRUE,SEA,North America,Seattle,194,7.34
35.197.23.75,443,443,TRUE,SEA,North America,Seattle,228,6.77
172.208.36.45,443,443,TRUE,IAD,North America,Ashburn,227,5.63
192.9.138.241,443,443,TRUE,SJC,North America,San Jose,222,5.63
20.250.160.232,443,443,TRUE,MXP,Europe,Milan,231,5.62
3.74.77.100,443,443,TRUE,FRA,Europe,Frankfurt,264,5.45
52.40.59.31,443,443,TRUE,SEA,North America,Seattle,226,5.44
104.215.27.74,443,443,TRUE,KIX,Asia Pacific,Osaka,75,4.99
13.40.87.247,443,443,TRUE,LHR,Europe,London,275,4.98
20.218.125.181,443,443,TRUE,FRA,Europe,Frankfurt,238,4.98
18.184.27.249,443,443,TRUE,FRA,Europe,Frankfurt,248,4.9
152.67.250.155,443,443,TRUE,SJC,North America,San Jose,216,4.87
146.56.132.247,443,443,TRUE,NRT,Asia Pacific,Tokyo,95,4.49
3.68.31.54,443,443,TRUE,FRA,Europe,Frankfurt,275,2.93
15.236.98.115,443,443,TRUE,CDG,Europe,Paris,267,2.84
13.57.206.173,443,443,TRUE,SJC,North America,San Jose,216,2.28
3.78.125.180,443,443,TRUE,FRA,Europe,Frankfurt,257,2.28
202.81.231.150,443,443,TRUE,HKG,Asia Pacific,Hong Kong,231,1.76
18.197.218.69,443,443,TRUE,FRA,Europe,Frankfurt,241,1.68
35.247.124.181,443,443,TRUE,SEA,North America,Seattle,209,1.68
20.221.32.145,443,443,TRUE,ORD,North America,Chicago,240,1.29
51.103.240.61,443,443,TRUE,MXP,Europe,Milan,274,1.06
43.128.26.74,443,443,TRUE,HKG,Asia Pacific,Hong Kong,58,0.57
45.207.13.157,443,443,TRUE,HKG,Asia Pacific,Hong Kong,66,0.14
54.71.238.195,443,443,TRUE,SEA,North America,Seattle,222,0.1
47.245.58.250,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,74,19.73
47.245.37.29,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,67,10.97
47.245.53.50,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,74,9.33
47.245.52.165,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,76,8.98
