IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.66.154.48,8443,443,TRUE,BOM,Asia Pacific,Mumbai,168,10.57
154.16.10.144,443,443,TRUE,HKG3,Asia Pacific,Hong Kong,57,26.65
4.255.56.138,80,80,FALSE,IAD,North America,Ashburn,276,11.21
146.56.44.88,443,443,TRUE,ICN1,Asia Pacific,Seoul,89,10.99
132.145.91.171,8443,443,TRUE,ICN4,Asia Pacific,Seoul,57,14.13
210.186.12.244,443,443,TRUE,KUL,Asia Pacific,Kuala Lumpur,101,9.22
34.36.1.38,80,80,FALSE,LAX1,North America,Los Angeles,219,25.41
34.49.212.232,80,80,FALSE,LAX2,North America,Los Angeles,212,11.65
154.9.207.173,443,443,TRUE,LAX3,North America,Los Angeles,203,12.11
91.149.239.70,443,443,TRUE,LAX4,North America,Los Angeles,225,11.26
85.239.53.94,443,443,TRUE,LAX5,North America,Los Angeles,234,11.26
91.149.239.122,443,443,TRUE,LAX6,North America,Los Angeles,223,8.53
91.149.239.198,443,443,TRUE,LAX7,North America,Los Angeles,235,8.2
91.149.239.62,443,443,TRUE,LAX8,North America,Los Angeles,251,7.9
20.106.123.66,2053,443,TRUE,LAX9,North America,Los Angeles,199,13.42
34.36.175.183,80,80,FALSE,LHR1,Europe,London,179,9.36
45.249.244.53,80,80,FALSE,LHR2,Europe,London,275,7.13
18.130.249.35,2096,443,TRUE,LHR3,Europe,London,190,7.23
208.85.17.124,443,443,TRUE,MAD,Europe,Madrid,216,10.16
130.162.134.215,2052,8443,TRUE,NRT1,Asia Pacific,Tokyo,75,14.19
54.178.45.52,8443,443,TRUE,NRT2,Asia Pacific,Tokyo,88,10.7
13.250.122.213,80,80,FALSE,SIN,Asia Pacific,Singapore,86,12.41
35.244.181.58,80,80,FALSE,SJC,North America,San Jose,217,12.54
20.191.193.160,2053,443,TRUE,SYD1,Oceania,Sydney,182,8.3
3.107.40.57,8443,443,TRUE,SYD2,Oceania,Sydney,170,9.66
35.201.203.106,443,443,TRUE,TPE,Asia Pacific,Taipei,210,11.66
